Date,Headline,Conflict Type,Country,Region,Description,Sources
2017,Bomb damages water truck in Egypt,Casualty,Egypt,Northern Africa,"Islamic State fighters claim responsibility for bombs placed in a road that denoates, damaging a water truck and a tank in Sheikh Zuweid, North Sinai, Egypt.",Raleigh et al 2010 ID. 221401
2017,Irrigation water pipe destroyed in Kenya by residents concerned over local access to water,"Trigger, Casualty",Kenya,Sub-Saharan Africa,"Residents of Nyeri Town, Nyeri, Kenya reportedly destroy an irrigation water pipe that is being run through their land for a neighboring community. The residents who caused the destruction are upset because they don't believe they would benefit from the project.",Raleigh et al 2010 ID. 235605
2017,Ethiopian troops reportedly attack a water source in Somalia,Casualty,Somalia,Sub-Saharan Africa,"Troops from Ethiopia reportedly attack a water source used by al Shabaab, leading to further fighting, in Bulo Burto, Hilraan, Somalia.",Raleigh et al 2010 ID. 291997
2017,Three water authority employees are attacked in conflict over water well,Trigger,Jordan,Western Asia,"Three employees of a water authority agency in Ar Ramtha, Irbid, Jordan are shot at and assaulted during their attempt to prevent the drilling of a water well.",Raleigh et al 2010 ID. 340823
2017,Residents in a violent protest over water shortages in South Africa,Trigger,South Africa,Sub-Saharan Africa,"Residents of Msinga, Umzinyathi, KwaZulu-Natal, South Africa, protesting against water shortages, block roads, target vehicles with stones, loot shops, and shoot at police.",Raleigh et al 2010 ID. 302809
2017,Water and electrical systems in Yemen are attacked,Casualty,Yemen,Western Asia,"Airstrikes by coalition forces hit water and electricity systems in Sahar, Sadah, Yemen.",Raleigh et al 2010 ID. 345859
2017,38 killed; 30 injured in fighting over access to water and land in South Sudan,Trigger,South Sudan,Sub-Saharan Africa,"According to a report, 38 people are killed and another 30 are injured in fighting between two local clans over water points, grazing land, and border areas, in Gogrial West, Warrap, South Sudan.",AAP 2017
2017,"Two people killed in fight over control of water well, Somalia",Trigger,Somalia,Sub-Saharan Africa,"Two people are killed when local clans fight over control of a water point in Galkayo, Mudug, Somalia.",Raleigh et al 2010 ID. 292212
2017,Road is blocked during protests over lack of access to water in Algeria,Trigger,Algeria,Northern Africa,"Citizens of Grarem Gouga, Mila, Algeria block a road with barricades to demand more water supply, in protest of only receiving water every 15 days.",Raleigh et al 2010 ID. 183673
2017,Residents and police clash over lack of access to water in South Africa,Trigger,South Africa,Sub-Saharan Africa,"Residents of Bushbuckridge, Ehlanzeni, Mpumalanga, South Africa, who claim to have asked for water for three years, stage a protest, including burning tires. Police respond to the protest, firing rubber bullets.",Raleigh et al 2010 ID. 302922
2017,Persistent attacks on water facility in eastern Ukraine leave millions without reliable safe water,Casualty,Ukraine,Eastern Europe,Intentional and persistent attacks on critical electricity and water facilities in Eastern Ukraine leave millions without reliable access to safe water.,UN Office for the Coordination of Humanitarian Affairs (UNOCHA) 2017
2017,"Residents of Babar, Algeria protest lack of water and sanitation infrastructure",Trigger,Algeria,Northern Africa,"Residents of Babar, Khenchela, Algeria demonstrate to demand improvement of sanitation and drinking water infrastructure. The demonstrations include blocking roads with burning tires.",Raleigh et al 2010 ID. 183684
2017,"Power lines in Dhamar, Yemen are damaged, cutting water to over a million",Casualty,Yemen,Western Asia,"The power lines connected to a main water supply system in the city of Dhamar, Yemen are damaged by military activity, affecting approximately one million residents who rely on the water source.",Raleigh et al 2010 ID. 346194
2017,"Illegal water connections contribute to fight between citizen groups, South Africa",Trigger,South Africa,Sub-Saharan Africa,"Two citizen groups fight two days in a row over allegedly illegal water and electricity connections in the City of Tshwane, Gauteng, South Africa.","Raleigh et al 2010 ID. 302953, 302946"
2017,Government forces in Yemen seize two major water wells; kill 12 Houthi,Casualty,Yemen,Western Asia,"Government forces seize two major water wells and kill 12 Houthi fighters in Sirwah, Marib, Yemen.",Raleigh et al 2010 ID. 346244
2017,"Multiple airstrikes hit a water storage facility, desalination plant, and other water infrastructure",Casualty,Yemen,Western Asia,"Multi-day airstrikes by coalition forces hit a water storage project, a desalination station, and other water infrastructure and electricity systems in Kamaran, Al Hudaydah, Yemen.","Raleigh et al 2010 ID. 346432, 346444, 346482"
2017,Protests over water cuts turn violent in Tunisia,Trigger,Tunisia,Northern Africa,A long series of protests in July 2017 are reported associated with cuts in the distribution of drinking water. Buses are reportedly damaged by residents; citizens blockade a road; security forces and protesters are injured in confrontations.,"Raleigh et al 2010 ID. 323780, 323819, 323800, 323768"
2017,Protests over water outages turn violent in Sudan,Trigger,Sudan,Sub-Saharan Africa,"People protesting water outages are dispersed by police officers in Port Sudan, Red Sea, Sudan.",Raleigh et al 2010 ID. 318759
2017,Suspected Taliban militants blow up irrigation dam in Afghanistan,Casualty,Afghanistan,Southern Asia,"Suspected Taliban militants blow up a dam storing water for irrigation in Shorabak, Kandahar, Afghanistan.",Raleigh et al 2010 ID. 359877
2017,Citizens protesting water cuts shut down local government in Algeria,Trigger,Algeria,Northern Africa,"Citizens protesting against water cuts shut down the local government, including the city hall, for serveral days in two cities in northern Algeria.",Raleigh et al 2010 ID. 183728
2017,Water tankers are destroyed in Yemen,Casualty,Yemen,Western Asia,"Al-Qaeda affliated militants are reported to destroy multiple water tankers that belonged to Houthis militants and the Yemeni Army in Wald Rabi, Al Bayda,  and Lawdar, Abyan, Yemen.","Raleigh et al 2010 ID. 347234, 347354"
2017,Violence erupts during protests over lack of clean water in South Africa,Trigger,South Africa,Sub-Saharan Africa,"Residents protesting road conditions and lack of clean water are dispersed by police with teargas in Matatiele, Alfred Nzo, Eastern Cape, South Africa. The protest tactics were reported to include blocking roads with burning tires and large boulders.",Raleigh et al 2010 ID. 303159
2017,Conflict over water quotas lead to two deaths in Iraq,Trigger,Iraq,Western Asia,"Conflict arises between two tribes over water quotas, leaing to two deaths and eight injuries in Suq Al-Shoyokh, Thi-Qar, Iraq.",Raleigh et al 2010 ID. 353965
2017,"Protests in Guinea over lack of water and electricity lead to violent clashes, killing three and injuring many",Trigger,Guinea,Sub-Saharan Africa,"Protests in Boke, Guinea about lack of water and electricity lead to clashes between police and protestors, leading to property damage, three dead, and 41 wounded.",Raleigh et al 2010 ID. 228185
2017,Water pumps destroyed in conflict over access to water in Mali,Casualty,Mali,Sub-Saharan Africa,"People identified as militants destroy several water pumps and a number of fields and seize cattle in Kewa, Djenne, Mopti, Mali.",Raleigh et al 2010 ID. 247138
2017,Five killed; 11 injured in airstrikes on water systems in Yemen,Casualty,Yemen,Western Asia,"Airstrikes by coalition forces hits several water projects, killing five civilians and injuring 11 others in Saadah and Sahar, Sadah, Yemen.","Raleigh et al 2010 ID. 262217, 348222"
2017,"Protests over inadequate water, food, and healthcare lead to 10 arrests in Nigeria",Trigger,Nigeria,Sub-Saharan Africa,"Ten people who had been uprooted from their homes by Boko Haram are arrested when protesting for better water, food, and healthcare at their temporary camps in Konduga, Borno, Nigeria.",News 24 2017
2017,"Violent clashes in South Sudan lead to 10 dead, many wounded, and destruction of a water point",Casualty,South Sudan,Sub-Saharan Africa,"Violent clashes between government and the Sudan People's Liberation Movement-In Opposition (SPLA-IO) cause the destruction of a water point and leave a reported 10 people dead and 16 more wounded in Wichok, Rubkona, Unity, South Sudan.",Raleigh et al 2010 ID. 307870
2017,Israeli forces destroy water pipes in the West Bank,Casualty,Palestine,Western Asia,"Israeli forces destroy water pipes in a rural area, leading to clashes between Israeli forces and local Palestinians in Jenin, West Bank, Palestine.",Raleigh et al 2010 ID. 339843
2017,"Protest over water outages, power cuts, and fees turns violent",Trigger,South Africa,Sub-Saharan Africa,"Students lead a campus protest at a university over water outages, power cuts, and fees in Nkonkobe, Amathole, Eastern Cape, South Africa. The protest turns violent and the campus is shut down.",Raleigh et al 2010 ID. 303271
2017,Lack of water triggers violent protest in Guinea,Trigger,Guinea,Sub-Saharan Africa,"People protesting the lack of water supply are dispersed by police after some items are set on fire and access to a local highway is blocked in Matam, Conakry, Guinea.",Raleigh et al 2010 ID. 228194
2017,Protest over shortages of drinking water turn violent in Morocco,Trigger,Morocco,Northern Africa,"A protest in Zagora, Dr?a-Tafilalet, Morocco,over shortages of drinking water turns violent, resulting in 21 arrests, damage to property, and injuries to members of the security force.",Raleigh et al 2010 ID. 248954
2017,Protests over cuts in water and power services turn violent in Guinea,Trigger,Guinea,Sub-Saharan Africa,"People protesting in Sangar?di, Boke, Guinea against cuts to water and power services are reported to have raided and attacked the gendarmerie, the police premises, and the residences of several individuals.",Raleigh et al 2010 ID. 228203
