,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
OFIX,2.02,29.57,35.69,3.15,0.36,1.22,-,-1.10%,-5.80%,-,2.90%
OFLX,35.46,80.68,-,-,0.00,1.81,0.77%,46.50%,44.10%,43.00%,20.40%
OFS,0.64,-,9.04,-,-,-0.53,10.08%,-,-,851.20%,22.00%
OFSSG,,,,,,,,,,,
OFSSI,,,,,,,,,,,
OFSSL,,,,,,,,,,,
OFSSZ,,,,,,,,,,,
OGI,-,-,-,-,-,-,-,-,-,-,0.11%
OIIM,2.24,48.80,17.78,2.57,0.10,0.13,-,4.70%,-9.40%,-,6.10%
OKTA,42.47,-,2112.02,-,2.53,-1.89,-,-48.70%,-14.80%,-27.30%,0.20%
OLB,4.99,-,-,-,1.47,-0.32,-,174.10%,-1.00%,-52.90%,0.40%
OLD,-,-,-,-,-,-,2.51%,-,-,-,-
OLED,12.46,104.23,57.31,3.64,0.00,2.23,0.26%,13.80%,15.60%,9.00%,2.00%
OLLI,4.64,27.14,29.13,1.46,0.00,3.20,-,19.20%,13.20%,296.30%,0.10%
OLMA,-,-,-,-,-,-0.39,-,-,-,-,14.40%
OM,6.35,-,-,-,0.08,-,-,-,20.50%,-148.40%,0.50%
OMAB,4.97,32.18,27.33,10.73,0.45,1.65,3.20%,15.70%,24.30%,-91.80%,51.50%
OMCL,5.04,124.49,34.61,8.30,0.50,0.87,-,4.30%,7.30%,-56.60%,1.70%
OMER,-,-,-,-,-,-2.38,-,106.20%,-121.90%,-98.10%,4.41%
OMEX,-,-,-,-,-,-1.49,-,48.10%,-208.60%,-14.70%,2.10%
OMP,1.09,101.85,4.56,4.70,0.00,0.11,19.64%,1.00%,31.00%,-14.60%,46.10%
ON,3.48,60.08,21.58,8.86,1.24,0.48,-,6.10%,5.30%,359.60%,1.20%
ONB,0.91,13.41,12.77,1.68,0.08,1.21,3.46%,7.00%,17.70%,15.80%,0.90%
ONCR,-,-,-,-,-,-,-,-,-,-,1.80%
ONCS,9.50,-,-,-,0.11,-2.13,-,-312.70%,-,49.20%,5.40%
ONCT,3.38,-,-,-,0.02,-1.14,-,-150.60%,-231.50%,31.50%,3.80%
ONCY,8.95,-,-,-,0.02,-0.80,-,-190.80%,-,-3.80%,1.80%
ONEM,8.33,-,-,-,0.44,-0.80,-,-30.00%,29.50%,-2.40%,0.30%
ONEQ,-,-,-,-,-,-,1.51%,-,-,-,-
ONEW,2.33,9.81,6.89,-,4.06,2.82,-,63.80%,16.00%,2.30%,2.80%
ONTX,4.47,-,-,-,0.00,-0.26,-,-161.10%,-187.10%,95.40%,0.57%
ONTXW,,,,,,,,,,,
ONVO,2.73,-,-,-,0.00,-2.72,-,-71.00%,-80.70%,-41.20%,1.80%
OPBK,0.79,8.57,8.45,0.86,0.00,0.86,3.79%,8.90%,26.90%,-6.40%,21.10%
OPCH,2.96,-,51.88,-,1.18,-0.24,-,-4.60%,0.10%,103.40%,0.20%
OPES,1.25,-,-,-,0.06,-0.23,-,-1.70%,-,-290.30%,20.70%
OPESU,,,,,,,,,,,
OPESW,,,,,,,,,,,
OPGN,2.24,-,-,-,1.15,-2.02,-,-159.60%,-208.00%,89.80%,0.10%
OPHC,0.68,-,-,-,0.19,-0.52,-,-14.70%,33.30%,-15.70%,44.23%
OPI,0.68,15.06,-,3.01,1.35,1.53,9.57%,4.40%,2.50%,3.70%,0.50%
OPINI,,,,,,,,,,,
OPINL,,,,,,,,,,,
OPK,1.92,-,24.85,-,0.15,-0.18,-,-7.20%,-14.90%,135.00%,1.40%
OPNT,1.01,-,-,-,0.00,-0.10,-,-0.30%,32.30%,-92.40%,3.00%
OPOF,0.75,12.78,-,-,0.01,1.31,2.87%,6.00%,29.00%,-50.90%,0.90%
OPRA,1.01,28.80,16.60,-,0.01,0.31,-,14.00%,1.60%,-77.80%,-
OPRT,1.08,-,11.10,-,2.91,-1.57,-,-10.50%,3.70%,78.30%,3.80%
OPRX,8.20,-,65.01,-,0.00,-0.38,-,-12.40%,-6.20%,82.90%,3.20%
OPT,-,-,-,-,-,-,-,-,-,-,-
OPTN,7.52,-,-,-,3.79,-2.20,-,-294.60%,-75.50%,37.60%,0.50%
OPTT,3.95,-,-,-,0.09,-1.32,-,-104.20%,-99.70%,56.90%,0.06%
ORBC,2.14,-,-,-,1.13,-0.28,-,-9.50%,0.20%,-40.30%,5.84%
ORGO,8.52,-,-,-,1.75,-0.06,-,-10.00%,-20.10%,256.40%,53.90%
ORGS,1.12,-,-,-,0.13,-2.46,-,69.20%,-119.30%,-66.50%,13.12%
ORIC,5.81,-,-,-,0.00,-1.59,-,-,-,75.00%,1.16%
ORLY,46.08,19.76,19.21,1.54,6.52,22.39,-,373.30%,35.50%,39.10%,0.30%
ORMP,2.81,-,-,-,0.00,-0.58,-,-45.90%,-35.70%,3.00%,13.76%
ORPH,-,-,-,-,-,-,-,-,-,-,-
ORRF,0.77,8.80,9.86,-,0.14,1.87,4.14%,9.30%,25.80%,-27.40%,1.60%
ORTX,2.28,-,-,-,0.12,-1.66,-,-65.70%,-52.70%,45.80%,0.23%
OSBC,1.01,10.43,11.84,1.49,0.32,0.97,0.40%,10.40%,21.40%,-14.70%,1.60%
OSIS,2.86,25.59,16.93,1.46,0.58,3.45,-,11.40%,10.50%,-53.60%,6.70%
OSMT,2.43,-,-,-,1.46,-0.92,-,-38.00%,-66.20%,93.60%,41.75%
OSN,0.24,2.67,-,-,0.29,1.62,-,9.50%,9.70%,10.70%,100.00%
OSPN,3.13,615.45,54.16,307.73,0.00,0.03,-,0.50%,3.20%,-114.20%,11.10%
OSS,1.60,55.20,37.81,-,0.19,0.05,-,3.00%,-3.30%,51.60%,9.20%
OSTK,7.24,260.46,420.61,-,0.13,0.24,-,14.40%,-113.60%,155.70%,0.30%
OSUR,2.30,-,20.96,-,0.00,-0.23,-,-4.20%,4.50%,-93.20%,1.52%
OSW,1.72,-,-,-,0.00,-3.97,-,-51.20%,-2.00%,-938.90%,2.10%
OTEL,1.66,5.77,-,-,2.77,2.00,-,31.90%,14.20%,-32.70%,56.85%
OTEX,3.00,46.31,13.43,7.18,1.03,0.97,1.79%,6.60%,4.60%,38.10%,2.30%
OTIC,3.08,-,-,-,0.20,-1.33,-,-108.80%,-81.00%,32.40%,5.43%
OTLK,9.67,-,-,-,0.43,-1.38,-,347.60%,2576.60%,83.40%,13.30%
OTLKW,,,,,,,,,,,
OTRAU,,,,,,,,,,,
OTRK,59.00,-,-,-,3.07,-1.70,-,172.70%,-,31.30%,57.43%
OTRKP,,,,,,,,,,,
OTTR,1.96,16.99,16.55,1.89,0.95,2.40,3.62%,12.00%,7.90%,41.80%,1.80%
OVBC,0.81,11.86,-,-,0.09,1.89,3.74%,6.90%,28.60%,7.00%,2.70%
OVID,2.74,-,-,-,0.00,-1.39,-,-141.00%,-,36.00%,9.10%
OVLY,1.14,11.59,-,-,0.00,1.50,1.61%,10.40%,32.20%,15.80%,8.10%
OXBR,1.23,-,-,-,0.03,-0.03,-,-2.20%,-3.80%,-119.80%,1.30%
OXBRW,,,,,,,,,,,
OXFD,1.98,-,-,-,0.00,-0.64,-,-8.80%,-1.70%,-108.70%,0.20%
OXLC,1.48,-,-,-,-,-1.51,14.14%,-,-,-,1.22%
OXLCM,,,,,,,,,,,
OXLCO,,,,,,,,,,,
OXLCP,,,,,,,,,,,
OXSQ,0.82,-,8.54,-,-,-0.88,13.29%,-,-,-,8.34%
OXSQL,,,,,,,,,,,
OXSQZ,,,,,,,,,,,
OYST,2.63,-,-,-,0.00,-2.99,-,-39.60%,-,-17.40%,1.40%
OZK,0.90,13.79,10.27,1.15,0.26,2.11,3.79%,6.60%,14.80%,4.80%,0.20%
OZON,-,-,-,-,-,-1.42,-,-,-126.50%,15.10%,1.26%
PAAS,2.66,215.07,12.30,6.05,0.05,0.14,0.90%,1.30%,2.00%,5.60%,1.60%
PACB,23.08,-,-,-,0.00,-0.28,-,-63.80%,-116.60%,25.40%,1.10%
PACW,0.82,-,8.71,-,0.13,-10.62,4.07%,-73.00%,15.30%,-58.10%,0.10%
PAE,7.01,58.31,12.94,-,4.78,0.17,-,10.60%,-,-,8.32%
PAEWW,,,,,,,,,,,
PAHC,3.86,17.19,15.22,4.24,2.07,1.07,2.61%,21.90%,8.20%,389.20%,0.40%
PAIC,,,,,,,,,,,
PAICU,-,-,-,-,-,-,-,-,-,-,-
PAICW,,,,,,,,,,,
PAND,1.76,-,-,-,0.00,-,-,-,56.50%,-100.30%,4.60%
PANL,0.61,-,2.38,-,0.89,-0.02,5.65%,-0.40%,6.70%,-9.60%,0.40%
PASG,3.12,-,-,-,0.00,-,-,-,-,-,19.38%
PATI,0.76,-,-,-,0.00,-0.03,6.00%,-0.20%,2.50%,43.50%,34.77%
PATK,2.73,18.49,11.87,1.95,1.29,3.42,1.77%,15.80%,10.80%,76.70%,3.10%
PAVM,-,-,-,-,-,-0.77,-,244.20%,-,-13.00%,3.70%
PAVMW,,,,,,,,,,,
PAVMZ,,,,,,,,,,,
PAYA,0.33,-,59.63,-,0.00,-0.12,-,0.00%,-,-707.40%,55.40%
PAYAW,,,,,,,,,,,
PAYS,14.06,-,32.30,-,0.00,-0.07,-,-14.80%,35.80%,-328.30%,38.00%
PAYX,11.99,32.04,30.29,9.45,0.29,2.90,2.67%,38.40%,31.30%,-19.90%,10.70%
PBCT,0.71,11.23,12.07,0.82,0.00,1.15,5.57%,6.40%,11.70%,0.70%,0.10%
PBCTP,,,,,,,,,,,
PBFS,1.14,33.83,-,-,0.00,0.30,-,-,23.30%,111.00%,55.73%
PBHC,0.55,9.54,-,-,0.16,1.18,2.14%,6.00%,23.80%,12.50%,0.70%
PBIP,0.88,12.23,-,-,0.00,1.12,2.05%,7.80%,16.10%,46.70%,1.00%
PBLA,,,,,,,,,,,
PBPB,5.14,-,-,-,0.00,-2.12,-,-110.90%,-34.00%,-464.40%,9.50%
PBTS,4.38,-,-,-,0.27,-1.25,-,-131.20%,-147.20%,-420.80%,69.48%
PBYI,-,-,-,-,-,-1.43,-,-451.50%,-56.50%,-82.60%,11.80%
PCAR,2.97,21.26,16.30,-,0.00,4.10,1.47%,14.50%,11.90%,-36.70%,1.40%
PCB,0.73,11.70,11.78,-,0.00,0.93,3.68%,6.40%,24.10%,-46.90%,0.20%
PCH,2.54,39.02,26.45,7.80,0.64,1.16,3.54%,6.70%,4.50%,294.00%,3.62%
PCOM,4.67,-,272.67,-,0.93,-0.15,-,-9.60%,26.20%,-332.30%,6.30%
PCRX,4.50,21.57,17.13,0.72,0.00,2.84,-,29.60%,1.50%,-,1.30%
PCSA,7.27,-,-,-,0.31,-1.07,-,-87.10%,-,-252.40%,16.00%
PCSB,0.89,26.56,25.61,-,0.02,0.60,1.01%,3.40%,15.10%,1.30%,3.60%
PCTI,1.66,35.57,16.07,3.56,0.00,0.18,3.38%,4.70%,3.80%,-22.10%,5.20%
PCTY,27.20,172.98,93.10,7.83,0.26,1.13,-,17.00%,12.90%,-10.90%,29.50%
PCVX,4.38,-,-,-,0.00,-,-,-,-,85.70%,2.20%
PCYG,2.16,68.29,26.56,3.10,0.15,0.07,-,3.20%,2.90%,211.10%,37.22%
PCYO,2.94,36.05,-,-,0.00,0.28,-,8.30%,-0.80%,-77.20%,0.30%
PDBC,-,-,-,-,-,-,1.79%,-,-,-,-
PDCE,0.66,-,7.63,-,0.66,-7.82,-,-28.20%,0.40%,-221.60%,0.10%
PDCO,3.56,-,18.61,-,0.85,-6.30,3.26%,-51.50%,-40.20%,-19.80%,1.00%
PDD,39.91,-,254.52,-,0.29,-0.98,-,-29.00%,-27.80%,67.20%,1.05%
PDEV,,,,,,,,,,,
PDEX,7.61,25.56,24.77,-,0.19,1.55,-,33.80%,22.80%,18.50%,1.40%
PDFS,2.98,-,49.60,-,0.00,-0.25,-,-3.80%,-2.90%,-263.30%,4.30%
PDLB,1.14,-,14.17,-,0.00,-0.29,-,-3.30%,24.50%,472.80%,2.30%
PDLI,0.69,-,-,-,-,-0.72,-,-,-17.00%,7.50%,0.60%
PDP,-,-,-,-,-,-,0.19%,-,-,-,-
PDSB,1.32,-,-,-,0.00,-1.57,-,-75.30%,-,81.20%,27.64%
PEBK,1.05,11.99,-,-,0.11,2.12,2.36%,9.10%,28.00%,27.60%,1.00%
PEBO,0.90,18.27,12.41,2.28,0.01,1.42,5.38%,5.00%,21.00%,-28.20%,2.70%
PECK,4.52,-,-,-,1.25,-0.32,-,-29.80%,-1.90%,-,59.97%
PEGA,19.45,-,580.91,-,0.97,-0.80,0.09%,-11.80%,-16.80%,37.50%,49.70%
PEIX,1.38,-,4.35,-,0.66,-0.82,-,-17.10%,-17.50%,141.70%,3.70%
PENN,3.80,-,47.48,-,2.59,-6.84,-,-42.90%,6.10%,142.60%,0.10%
PEP,14.85,28.56,23.96,4.84,3.31,5.06,2.83%,51.90%,17.80%,10.30%,0.10%
PERI,1.18,29.92,30.40,-,0.13,0.25,-,4.20%,9.00%,-32.10%,36.50%
PESI,2.28,18.63,-,-,0.25,0.34,-,11.70%,7.90%,-21.50%,5.90%
PETQ,2.75,-,21.03,-,1.38,-3.16,-,-26.80%,0.00%,-886.40%,0.10%
PETS,4.29,19.47,16.32,1.76,0.00,1.50,3.84%,22.80%,17.60%,25.10%,3.80%
PETZ,-,-,-,-,-,-0.25,-,670.20%,-71.00%,97.40%,78.88%
PEY,-,-,-,-,-,-,5.16%,-,-,-,-
PEZ,-,-,-,-,-,-,0.38%,-,-,-,-
PFBC,1.16,8.36,8.79,0.84,0.20,4.57,3.14%,-,22.60%,-59.60%,2.50%
PFBI,0.80,9.20,-,6.14,0.02,1.52,4.29%,9.00%,23.90%,-10.30%,1.40%
PFC,0.86,15.02,9.84,1.67,0.09,1.47,4.00%,5.50%,22.00%,3.60%,0.50%
PFF,-,-,-,-,-,-,5.44%,-,-,-,-
PFG,0.89,11.52,8.42,1.71,0.28,4.41,4.40%,8.40%,7.80%,-13.40%,0.30%
PFHD,0.92,61.18,13.47,-,0.05,0.23,-,2.20%,33.40%,71.20%,1.30%
PFI,-,-,-,-,-,-,1.99%,-,-,-,-
PFIE,0.98,-,-,-,0.00,-0.08,-,-8.30%,3.50%,-216.00%,2.60%
PFIN,0.38,-,-,-,0.12,-1.55,-,-11.00%,-5.20%,-738.60%,15.20%
PFIS,0.89,10.80,-,-,0.11,3.56,3.75%,8.50%,22.20%,17.60%,0.40%
PFLT,0.88,22.78,9.66,-,-,0.48,10.54%,-,-,130.40%,1.60%
PFM,-,-,-,-,-,-,2.15%,-,-,-,-
PFMT,1.10,-,-,-,1.60,-0.40,-,-51.30%,-16.70%,124.00%,31.28%
PFPT,10.69,-,52.16,-,1.35,-2.76,-,-27.40%,-9.30%,30.10%,0.50%
PFSW,2.63,-,11.08,-,0.78,-0.12,-,-5.00%,-0.30%,-65.50%,4.40%
PGC,0.82,12.18,12.71,10.15,0.52,1.85,0.89%,7.00%,16.40%,12.80%,1.80%
PGEN,24.43,-,-,-,3.31,-0.97,-,-446.50%,-69.70%,43.80%,1.00%
PGJ,-,-,-,-,-,-,0.22%,-,-,-,-
PGNY,24.64,1823.00,93.97,26.25,0.00,0.02,-,2.70%,8.50%,154.20%,1.80%
PHAS,26.53,-,-,-,3.05,-2.75,-,-220.60%,-53.20%,-116.80%,0.80%
PHAT,7.42,-,-,-,0.30,-6.81,-,-88.70%,-,52.60%,20.10%
PHCF,3.82,-,-,-,0.15,-0.35,-,-35.90%,-47.50%,-162.90%,67.28%
PHICU,-,-,-,-,-,-,-,-,-,-,-
PHIO,0.93,-,0.95,-,0.01,-7.84,-,-70.60%,-,91.20%,0.30%
PHIOW,,,,,,,,,,,
PHO,-,-,-,-,-,-,0.45%,-,-,-,-
PHUN,-,-,-,-,-,-0.48,-,-,-241.50%,-211.10%,6.30%
PHUNW,,,,,,,,,,,
PI,9.09,-,-,-,0.00,-1.94,-,-36.60%,-12.70%,-236.70%,2.20%
PICO,0.96,37.84,-,2.52,0.00,0.23,-,2.60%,6.50%,-111.40%,1.31%
PID,-,-,-,-,-,-,4.59%,-,-,-,-
PIE,-,-,-,-,-,-,1.70%,-,-,-,-
PIH,1.00,-,-,-,0.00,-3.16,-,-40.20%,5.20%,-,3.70%
PIHPP,,,,,,,,,,,
PINC,1.63,-,14.39,-,0.28,-3.01,2.17%,0.90%,14.50%,-75.20%,1.00%
PIO,-,-,-,-,-,-,0.90%,-,-,-,-
PIRS,3.61,-,-,-,0.00,-0.49,-,-55.20%,-52.80%,-400.50%,0.09%
PIXY,9.40,-,-,-,0.00,-13.74,-,-,136.10%,65.50%,61.30%
PIZ,-,-,-,-,-,-,0.86%,-,-,-,-
PKBK,0.92,6.42,-,0.24,0.71,2.32,4.30%,15.00%,23.30%,-15.50%,4.40%
PKOH,1.10,-,11.06,-,1.71,-0.21,1.69%,-0.80%,7.60%,-55.50%,13.40%
PKW,-,-,-,-,-,-,1.84%,-,-,-,-
PLAB,1.00,21.66,14.84,2.17,0.07,0.56,-,4.80%,5.10%,73.20%,0.60%
PLAY,4.87,-,-,-,2.98,-1.80,-,-40.30%,14.80%,-238.50%,1.10%
PLBC,1.33,9.15,-,-,0.11,2.69,1.95%,15.50%,31.80%,-7.80%,0.70%
PLC,-,-,-,-,-,-,1.70%,-,-,-,-
PLCE,8.43,-,14.87,-,3.32,-8.53,-,-103.40%,20.00%,-67.10%,5.60%
PLIN,0.76,4.02,-,-,-,0.21,-,-,-,-,46.57%
PLL,11.20,-,-,-,-,-1.00,-,-,-,-,0.24%
PLMR,4.74,85.84,28.41,6.36,0.00,0.78,-,6.20%,5.90%,-283.20%,1.30%
PLPC,1.13,9.85,-,-,0.24,6.53,1.24%,12.30%,7.30%,66.40%,0.30%
PLRX,3.36,-,-,-,0.00,-,-,-,1.60%,5.50%,1.40%
PLSE,14.08,-,-,-,0.00,-2.27,-,-156.50%,-,9.60%,46.50%
PLUG,14.50,-,-,-,0.49,-0.30,-,-35.30%,-14.00%,-38.40%,0.80%
PLUS,2.18,16.29,13.72,3.26,0.08,5.23,-,14.10%,12.20%,-1.60%,1.90%
PLW,-,-,-,-,-,-,1.15%,-,-,-,-
PLXP,-,-,-,-,-,-1.18,-,73.20%,182.10%,-354.10%,5.20%
PLXS,2.26,19.43,15.23,2.39,0.34,3.89,-,12.60%,10.20%,2.20%,1.90%
PLYA,1.11,-,-,-,1.97,-1.57,-,-28.20%,2.30%,-149.10%,1.10%
PMBC,0.76,23.26,12.66,-,0.11,0.22,-,3.40%,23.00%,213.30%,0.40%
PMD,1.96,-,-,-,0.33,-0.70,-,-25.90%,7.60%,-263.30%,8.70%
PME,1.10,27.81,-,-,2.27,0.07,-,4.10%,3.60%,-82.90%,57.25%
PMVP,0.60,-,-,-,0.00,-,-,-,-,-,7.40%
PNBK,0.46,-,-,-,0.48,-1.01,0.53%,-6.10%,21.80%,-421.20%,0.70%
PNFP,0.95,14.84,12.59,0.46,0.15,3.87,1.11%,6.60%,12.60%,-1.80%,1.60%
PNFPP,,,,,,,,,,,
PNNT,0.57,-,7.96,-,-,-0.24,10.76%,-,-,15.00%,2.62%
PNNTG,,,,,,,,,,,
PNQI,-,-,-,-,-,-,-,-,-,-,-
PNRG,1.09,-,-,-,0.42,-1.73,-,-1.70%,4.70%,160.60%,74.15%
PNTG,16.51,205.92,55.27,-,0.01,0.26,-,9.90%,4.00%,166.20%,5.20%
POAI,0.91,-,-,-,0.48,-5.41,-,-252.30%,-145.20%,65.20%,9.30%
PODD,28.18,583.68,229.17,-,1.55,0.44,-,8.90%,4.00%,1350.00%,0.30%
POLA,3.24,-,-,-,0.19,-1.13,-,-71.10%,-20.40%,-,53.72%
POOL,23.09,42.50,36.92,2.50,0.58,7.98,0.68%,71.00%,30.90%,49.90%,0.70%
POTX,-,-,-,-,-,-,7.75%,-,-,-,-
POWI,5.68,22.10,42.24,2.08,0.00,3.35,0.59%,26.90%,26.00%,-14.90%,1.20%
POWL,1.00,15.14,25.25,1.51,0.00,1.73,3.98%,6.70%,3.00%,-32.20%,0.90%
POWW,,,,,,,,,,,
PPBI,1.04,57.55,14.45,7.19,0.00,0.52,3.76%,0.80%,17.20%,2.60%,0.20%
PPC,2.01,26.51,10.46,-,1.09,0.75,-,7.60%,11.00%,-68.90%,80.74%
PPD,-,223.05,24.82,16.52,-,0.15,-,-3.40%,14.10%,-140.80%,0.30%
PPH,-,-,-,-,-,-,1.71%,-,-,-,-
PPIH,0.87,-,-,-,0.20,-0.13,-,-1.60%,6.20%,-92.90%,3.90%
PPSI,2.13,-,-,-,0.15,-1.29,-,-84.50%,-49.30%,141.20%,0.40%
PRAA,1.57,13.34,13.40,0.37,2.13,3.20,-,12.60%,6.20%,68.30%,1.50%
PRAH,5.34,32.61,19.24,3.31,0.97,3.42,-,18.80%,12.70%,12.20%,0.20%
PRAX,-,-,-,-,-,-1.48,-,-,-,8.80%,7.70%
PRCP,1.76,-,-,-,0.12,-0.52,-,-12.50%,-8.50%,-164.40%,1.10%
PRDO,1.52,6.56,6.82,0.44,0.00,1.75,-,26.60%,14.80%,120.70%,2.80%
PRFT,3.83,45.12,16.98,3.76,0.49,1.03,-,8.50%,8.80%,-37.80%,0.70%
PRFX,-,-,-,-,-,-0.27,-,-,-,-,63.79%
PRFZ,-,-,-,-,-,-,1.47%,-,-,-,-
PRGS,4.99,32.28,12.67,3.23,0.78,1.26,1.72%,16.80%,6.10%,76.60%,1.30%
PRGX,2.71,-,17.43,-,0.55,-0.22,-,-9.30%,-13.60%,294.60%,1.10%
PRIM,1.75,12.20,12.59,1.22,0.48,2.04,0.97%,15.60%,10.90%,30.00%,0.40%
PRLD,0.70,-,-,-,0.00,-,-,-,-,-,4.60%
PRN,-,-,-,-,-,-,0.20%,-,-,-,-
PROF,-,-,-,-,-,-,-,-,-,-,1.95%
PROG,-,-,-,-,-,-,-,-,1315.20%,-64.70%,31.90%
PROV,0.84,16.16,14.59,-,0.00,0.88,3.96%,5.30%,25.90%,-40.60%,25.55%
PRPH,9.60,-,-,-,0.93,-0.15,-,-14.80%,-28.90%,-32.50%,23.50%
PRPL,31.65,-,31.12,-,1.06,-0.04,-,10.40%,28.70%,-112.80%,0.30%
PRPO,2.55,-,-,-,0.09,-1.69,-,-124.70%,-91.20%,32.70%,0.10%
PRQR,2.41,-,-,-,0.49,-1.26,-,-63.90%,-53.40%,15.70%,2.95%
PRSC,4.52,84.86,22.24,8.49,0.00,1.56,-,13.90%,8.00%,399.60%,0.30%
PRTA,2.11,-,-,-,0.00,-2.56,-,-42.00%,-31.50%,-57.10%,0.05%
PRTC,,,,,,,,,,,
PRTH,-,18.44,133.25,-,-,0.29,-,-,1.70%,788.30%,3.40%
PRTK,-,-,-,-,-,-2.46,-,166.10%,-52.40%,54.20%,4.10%
PRTS,8.32,-,-,-,0.13,-0.67,-,-70.10%,-126.30%,163.30%,4.10%
PRVB,6.53,-,-,-,0.00,-1.49,-,-67.70%,-,-130.40%,9.20%
PRVL,3.14,-,-,-,0.00,-3.30,-,-55.60%,-,7.20%,12.89%
PS,11.63,-,-,-,2.81,-1.16,-,-71.50%,-23.20%,25.80%,0.90%
PSAC,-,-,-,-,-,-,-,-,-,-,-
PSACU,,,,,,,,,,,
PSACW,,,,,,,,,,,
PSC,-,-,-,-,-,-,1.63%,-,-,-,-
PSCC,-,-,-,-,-,-,1.78%,-,-,-,-
PSCD,-,-,-,-,-,-,0.97%,-,-,-,-
PSCE,-,-,-,-,-,-,1.46%,-,-,-,-
PSCF,-,-,-,-,-,-,5.96%,-,-,-,-
PSCH,-,-,-,-,-,-,-,-,-,-,-
PSCI,-,-,-,-,-,-,0.81%,-,-,-,-
PSCM,-,-,-,-,-,-,1.73%,-,-,-,-
PSCT,-,-,-,-,-,-,0.14%,-,-,-,-
PSCU,-,-,-,-,-,-,2.37%,-,-,-,-
PSEC,0.63,14.78,8.31,2.96,-,0.36,13.53%,-,-,828.60%,26.58%
PSET,-,-,-,-,-,-,1.20%,-,-,-,-
PSHG,0.03,-,-,-,0.00,-0.85,7.43%,-4.50%,-25.00%,114.20%,57.67%
PSL,-,-,-,-,-,-,0.85%,-,-,-,-
PSM,-,-,-,-,-,-,1.83%,-,-,-,-
PSMT,3.01,32.38,25.92,2.16,0.24,2.55,0.85%,9.40%,8.20%,-0.10%,14.90%
PSNL,5.01,-,-,-,0.00,-1.07,-,-27.50%,-22.60%,-21.70%,0.80%
PSTI,5.47,-,-,-,0.00,-1.50,-,-90.30%,-,28.30%,15.80%
PSTV,3.43,-,-,-,2.38,-0.89,-,-210.40%,-29.50%,-,0.70%
PSTX,2.04,-,-,-,0.10,-,-,-,-,-35.20%,10.20%
PT,1.38,-,-,-,4.24,-3.25,-,-98.90%,-93.80%,-,10.42%
PTAC,,,,,,,,,,,
PTACU,,,,,,,,,,,
PTACW,,,,,,,,,,,
PTC,8.66,95.60,30.16,4.85,0.00,1.12,-,9.90%,8.50%,447.50%,0.80%
PTCT,8.46,-,-,-,1.94,-6.87,-,-80.00%,-27.80%,3.00%,0.20%
PTE,1.12,-,-,-,0.21,-1.69,-,-160.20%,-226.70%,79.00%,25.20%
PTEN,0.41,-,-,-,0.46,-4.13,1.71%,-32.80%,-9.40%,54.40%,0.40%
PTF,-,-,-,-,-,-,-,-,-,-,-
PTGX,4.84,-,-,-,0.00,-2.16,-,-54.00%,-88.90%,65.90%,1.38%
PTH,-,-,-,-,-,-,-,-,-,-,-
PTI,1.46,-,-,-,0.01,-0.75,-,-78.60%,-98.00%,37.70%,15.30%
PTMN,-,-,-,-,-,-,-,-,-,-,-
PTNR,1.70,145.76,-,72.88,1.32,0.03,-,1.20%,2.30%,-163.90%,46.10%
PTON,18.14,943.17,164.03,-,0.00,0.12,-,2.90%,-5.00%,213.60%,0.10%
PTPI,,,,,,,,,,,
PTRS,,,,,,,,,,,
PTSI,1.93,-,10.84,-,0.00,-1.94,-,-7.30%,2.70%,31.70%,1.10%
PTVCA,,,,,,,,,,,
PTVCB,0.58,-,-,-,0.06,-0.27,2.83%,-1.10%,1.90%,566.00%,3.10%
PTVE,-,5.66,8.85,0.11,4.73,3.02,-,18.60%,5.30%,-,77.90%
PUI,-,-,-,-,-,-,2.67%,-,-,-,-
PULM,2.00,-,-,-,0.00,-0.79,-,-147.80%,-,-77.60%,1.09%
PUYI,-,-,-,-,-,-,-,-,-,-,-
PVAC,0.39,-,9.46,-,1.49,-11.30,-,-32.10%,16.20%,-547.10%,0.40%
PVBC,0.78,17.59,16.46,-,0.00,0.59,1.17%,4.40%,14.80%,-5.00%,0.90%
PWFL,2.58,-,71.79,-,0.42,-0.52,-,-18.90%,-8.50%,50.40%,3.50%
PWOD,1.09,12.66,-,-,0.13,1.99,5.09%,8.90%,27.20%,-3.90%,2.40%
PXI,-,-,-,-,-,-,4.64%,-,-,-,-
PXLW,3.25,-,-,-,0.11,-0.62,-,-57.10%,-28.60%,-229.70%,5.30%
PXS,0.67,-,-,-,1.89,-0.32,-,-22.60%,-2.70%,27.10%,81.68%
PXSAP,,,,,,,,,,,
PXSAW,,,,,,,,,,,
PY,-,-,-,-,-,-,3.40%,-,-,-,-
PYPD,2.58,-,-,-,0.00,-,-,-,-,-386.00%,1.10%
PYPL,13.48,80.27,46.98,3.49,0.00,2.65,-,18.20%,10.00%,120.60%,0.10%
PYZ,-,-,-,-,-,-,1.51%,-,-,-,-
PZZA,-,98.98,35.45,12.37,-,0.81,1.12%,-8.40%,50.10%,455.60%,1.20%
QABA,-,-,-,-,-,-,3.08%,-,-,-,-
QADA,10.87,385.39,62.02,38.54,0.11,0.15,0.49%,-11.40%,-14.00%,100.40%,27.50%
QADB,,,,,,,,,,,
